startskog,metod,ålder,Alla matsvampar,Goda matsvampar,Signal + rödlistade,Atheliales,Boletales,Cantharellales,Cortinariaceae,Russulales,Thelephorales,Ascomyceter,övrigt,Mängd mykorrhiza
Inte kalavverkad,skärm,50,24,9.6,0.152902562,36,15.6,0.72,14.4,15.6,6.5,27.6,3,120
Inte kalavverkad,skärm,60,24,9.6,0.16064,34.8,14.4,0.792,15.6,16.8,6.6,28.2,2.94,120
Inte kalavverkad,skärm,70,23,9.2,0.16220875,32.775,13.8,0.76705,15.525,17.25,6.43358,25.3,3.703,115
Inte kalavverkad,skärm,80,21.6,9.18,0.16064,30.24,12.96,0.69984,15.12,17.28,5.9463,22.68,3.672,108
Inte kalavverkad,skärm,90,25.75,8.755,0.16082825,27.81,12.36,0.689585,15.45,16.995,5.59984,21.115,3.4505,103
Inte kalavverkad,skärm,100,26,9,0.16315,26,12,0.7,16,17,5.2492,20,3.3,100
Inte kalavverkad,ingen åtgärd,-7,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,ingen åtgärd,0,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,ingen åtgärd,10,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,ingen åtgärd,20,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,ingen åtgärd,30,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,ingen åtgärd,40,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,ingen åtgärd,50,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,ingen åtgärd,60,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,ingen åtgärd,70,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,ingen åtgärd,80,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,ingen åtgärd,90,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
Inte kalavverkad,ingen åtgärd,100,32,10,0.6,19,11,0.7,25,23,3,17,1.3,100
